,allele,Cc,Cc_CV,Cm
1,Caca01,39,0,1
2,Chmy01,0,0,89
3,Chmy02,0,0,110
4,Carca09,26,17,1
5,Chmy03,0,0,23
6,Chmy04,0,0,43
7,Chmy05,0,0,33
8,Chmy06,0,0,19
9,Chmy07,1,0,13
10,Carca32,16,7,0
11,Carca15,44,8,1
12,Carca19,55,9,1
13,Chmy08,0,0,12
14,Chmy09,0,0,21
15,Chmy10,1,0,68
16,Chmy11,0,0,18
17,Chmy12,1,0,16
18,Chmy13,0,0,12
19,Chmy14,0,0,11
20,Chmy15,0,0,9
21,Chmy16,0,0,8
22,Caca02,12,0,1
23,Chmy17,1,0,14
24,Carca14,38,14,0
25,Chmy18,0,0,13
26,Chmy19,0,0,9
27,Chmy20,0,0,10
28,Chmy21,0,0,16
29,Chmy22,0,0,9
30,Carca11,8,12,0
31,Carca16,7,12,0
32,Carca17,2,6,0
33,Chmy23,0,0,5
34,Chmy24,0,0,5
35,Carca27,23,12,0
36,Carca13,9,10,0
37,Chmy25,0,0,5
38,Chmy26,1,0,6
39,Chmy27,0,0,3
40,Chmy28,0,0,4
41,Chmy29,0,0,9
42,Chmy30,0,0,3
43,Chmy31,1,0,5
44,Chmy32,0,0,7
45,Chmy33,0,0,13
46,Carca56,4,9,0
47,Caca03,3,0,0
48,Chmy34,0,0,4
49,Carca28,16,8,0
50,Chmy35,0,0,10
51,Chmy36,0,0,6
52,Chmy37,0,0,3
53,Chmy38,0,0,3
54,Chmy39,0,0,4
55,Chmy40,0,0,4
56,Chmy41,1,0,19
57,Chmy42,0,0,4
58,Chmy43,0,0,4
59,Chmy44,0,0,4
60,Carca109,11,1,0
61,Chmy45,0,0,2
62,Chmy46,0,0,4
63,Chmy47,0,0,6
64,Chmy48,0,0,15
65,Chmy49,0,0,13
66,Chmy50,0,0,11
67,Chmy51,0,0,5
68,Chmy52,0,0,5
69,Chmy53,0,0,9
70,Chmy54,0,0,5
71,Caca04,3,0,0
72,Chmy55,1,0,8
73,Chmy56,0,0,4
74,Chmy57,0,0,6
75,Chmy58,0,0,5
76,Chmy59,0,0,3
77,Chmy60,0,0,2
78,Chmy61,0,0,5
79,Chmy62,0,0,11
80,Caca05,8,0,0
81,Chmy63,0,0,9
82,Chmy64,0,0,2
83,Carca25,2,6,0
84,Carca81,1,6,0
85,Chmy65,0,0,3
86,Chmy66,1,0,2
87,Chmy67,0,0,7
88,Chmy68,0,0,4
89,Chmy69,0,0,2
90,Chmy70,0,0,2
91,Chmy71,0,0,2
92,Chmy72,0,0,2
93,Caca06,5,0,0
94,Chmy73,0,0,4
95,Chmy74,0,0,2
96,Chmy75,0,0,4
97,Chmy76,0,0,3
98,Chmy77,0,0,4
99,Chmy78,0,0,2
100,Chmy79,0,0,5
101,Chmy80,0,0,7
102,Chmy81,0,0,2
103,Chmy82,0,0,2
104,Caca07,3,0,0
105,Chmy83,0,0,2
106,Chmy84,0,0,3
107,Chmy85,0,0,3
108,Chmy86,0,0,2
109,Chmy87,0,0,2
110,Caca08,3,0,0
111,Chmy88,0,0,2
112,Chmy89,0,0,4
113,Chmy90,0,0,3
114,Chmy91,0,0,2
115,Chmy92,0,0,2
116,Chmy93,0,0,2
117,Carca475,0,1,0
118,Carca235,0,1,0
119,Carca186,0,1,0
120,Carca102,0,1,0
121,Carca42,0,3,0
122,Carca30,0,7,0
123,Carca21,0,9,0
124,Carca00,0,30,0
